NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comentário
Neutral;BR;SP;Oferece poucas informa??es do passageiro;;;7;Poderia ter funcao de ver as foto do passageiro antes de iniciar a corrida
Neutral;BR;SP;N?o mostra o local de embarque e desembarque com precis?o;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;Oferece poucas informa??es do passageiro;8;Poderia melhor na seguran?a, acabar com isso de outra pessoa pedir para outra , no caso tem que avisar
Neutral;BR;SP;Oferece poucas informa??es do passageiro;N?o tem regras justas;O aplicativo n?o ?? profissional;7;Fiz uma corrida de 50,60 de madrugada, passageira se recusou a pagar e fiquei sem receber meus ganhos. A 99 i formou que n??o se responsabiliza por pagamento em di heiro, porem descontaram a porcentagem do app mesmo o passageiro informando que nao pagou
Neutral;BR;SP;Oferece poucas informa??es do passageiro;N?o mostra o local de embarque e desembarque com precis?o;;8;
Detractor;BR;SP;N?o tem regras justas;Os ganhos s?o poucos e inst??veis;Muitas corridas iniciam ou se encerram em ??reas de risco;5;Muitas vezes a 99 manda buscar o passageiro de 3 a 5 km de dist?ncia e n?o ?? pago ao motorista quando vc pega o passageiro a corrida ?? curta de 6,60 isso n?o paga nem o combust??vel ent?o vc acaba de pagar para trabalhar.
Neutral;BR;SP;Oferece poucas informa??es do passageiro;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;Todos gostam da 99, n?o h?? necessidade em recomendar para outras pessoas;8;
Detractor;BR;SP;N?o se importa com o motorista parceiro;Oferece poucas informa??es do passageiro;N?o tem regras justas;6;Trabalho com a 99 e gostaria de ter mais seguran?a, e hoje mesmo fui chingando pelo passageiro que n?o queria cancelar a corrida sendo que me direcionei para o local indicado para o embarque por??m o mesmo havia coloca o endere?o errado pelas regras ele deveria cancelar por erro dele por??m ele me chingue mais n?o me afeto sou proficional
Detractor;BR;SP;N?o tem regras justas;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;;5;Bom poderia mudar a forma do motorista comunicar quando um passageiro n?o paga a corrida , pois a uber tem essa op??o  se o passageiro n?o paga pela corrida em dinheiro tem aonde vc reportar de forma pr??tica e f??cil.
Detractor;BR;SP;Os ganhos s?o poucos e inst??veis;N?o se importa com o motorista parceiro;Oferece poucas informa??es do passageiro;3;Tenho um carro proprio, mas naosei dizer oq ?? pior se ?? alugar ou ter seu carro proprio, financiei ebtao eu pago o financiamento e outras contas, mas naoesta sobrando dinheiro para manuten?ao, trabalho muito para ganhar menos do necessario, a hora q meu carro quebrar eu simplesmente darei adeus a 99pop, intendo que o app arca com muitos custos mas o investimento que o motorista tem ?? muito maior  isso nao ?? oq eu acho, falo por muitos que enfreta a experiencia...
Neutral;BR;SP;Oferece poucas informa??es do passageiro;;;7;
Detractor;BR;SP;Oferece poucas informa??es do passageiro;N?o oferece uma visualiza??o clara e correta dos meus ganhos;;4;Deslocamento com 5 km chegando no local do cliente o cliente cancela na porta do cliente e n?o recebemos nada. Como ocorreu nas minha ??ltimas corrida. \nAo finalizar a corrida e ver o valor se entrar outra corrida o valor some e n?o volta o valor final.  O local est?? din?mico e quando chegamos no local o din?mico some e volta ao valor normal.
Detractor;BR;SP;Oferece poucas informa??es do passageiro;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;;5;
Neutral;BR;SP;Todos est?o falando sobre a 99 de forma negativa;;;7;99 ?? muito mais justa com os motoristas oarceiris do que a concorrente direta. Ao meu ver a 99 tem que ser mais criteriosa e exigente com os motoristas parceiros. Existe muitos motoristas com falta de comprometimento, carros sujos, mal educados, com passagens na justi?a. ? um trabalho de um para um, com isso fica muito arriscado ter pessoas que j?? cumpriram pena. Sei que todos merecem outra chance  Eu trabalho de forma corrwta. Assim fica claro para os passageiros que na 99 tem ??timos profission
Neutral;BR;SP;Todos gostam da 99, n?o h?? necessidade em recomendar para outras pessoas;;;8;
Detractor;BR;SP;Oferece um p??ssimo servi?o de atendimento, dif??cil de entrar em contato;N?o tem regras justas;N?o se importa com o motorista parceiro;0;Bloqueios por taxa de desempenho,  fa?o corrida que me sinto seguro,  se considero area de risco n?o levo.
Detractor;BR;SP;N?o se importa com o motorista parceiro;O aplicativo n?o ?? profissional;N?o tem regras justas;1;
Detractor;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;N?o tem regras justas;N?o se importa com o motorista parceiro;3;O aplicativo quando tem alguma  promo??o para o motorista o aplicativo sempre tem um motivo para n?o paga os ganho eu sempre consigo bete a meta ai no dia seguinte n?o paga
Detractor;BR;SP;N?o tem regras justas;;;5;Eu acho horr??vel quando o valor da corrida aumenta Devido ao tr?nsito o passageiro n?o quer pagar a diferen?a voc??s cobram o valor de voc??s se eu fico no preju??zo isso nas corridas no dinheiro
Detractor;BR;SP;As ferramentas de seguran?a n?o ajudam com uma viagem segura;Os ganhos s?o poucos e inst??veis;N?o se importa com o motorista parceiro;6;Trabalha muito e ganha pouco sem seguran?a.
Neutral;BR;SP;Os ganhos s?o poucos e inst??veis;? perigoso trabalhar com a 99;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;7;Deveres e direitos iguais.\nN?o ?? seguro aguardar passageiro por mais de 2 minutos e neste momento que o motorista fica funeravel a assalto, sequestro...\nA foto do passageiro deveria ser obrigat??ria e com tamanho vis??vel.\nPassageiro deveriam ser orientandos no money da solicita??o sobre taxas por sujar ou danificar o ve??culo.
Neutral;BR;SP;N?o mostra o local de embarque e desembarque com precis?o;;;7;
