NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comment
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece informa??es suficientes do passageiro;9;
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;O aplicativo atende todas as minhas necessidades de trabalho;;9;"A 99 está funcionando super bem em quest?o do que era , mais tem muitas coisas a se melhorar , seguran?a seria o principal fator , pq eu já fui sequestrado por um ""passageiro"" e n?o me deram nenhum respaldo , nenhuma  ajuda . Sou motorista 5 estrelas , nunca ganhei nem um parabéns por isso. Ent?o eu acho que a 99 tem que dar mais valor para seus colaboradores. Entre outras melhorias a se fazer."
Promoter;BR;SP;? seguro trabalhar com a 99;Todos falam sobre a 99 de forma positiva;;9;
Promoter;BR;SP;? seguro trabalhar com a 99;O aplicativo é fácil de ser utilizado;Oferece informa??es suficientes do passageiro;10;Podemos ter cuidado um pouco mais com a seguran?a de todos em locais com maiores índices de assalto aos motoristas do aplicativo
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Todos falam sobre a 99 de forma positiva;Oferece uma visualiza??o clara e correta dos meus ganhos;10;
Promoter;BR;SP;Oferece boas funcionalidades de seguran?a;Oferece um atendimento ao consumidor fácil de entrar em contato;O aplicativo é fácil de ser utilizado;10;Deveriam dar mais benefícios aos passageiros para utilizarem o voucher....
Promoter;BR;SP;? seguro trabalhar com a 99;O aplicativo é fácil de ser utilizado;O aplicativo atende todas as minhas necessidades de trabalho;10;
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;O aplicativo é fácil de ser utilizado;Oferece boas parcerias para o motorista;10;
Promoter;BR;SP;? seguro trabalhar com a 99;O aplicativo é fácil de ser utilizado;? fácil receber meus ganhos na minha conta;10;
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Todos falam sobre a 99 de forma positiva;O aplicativo é profissional;10;Olá Boa tarde gostaria de saber pq a 99 n?o aumenta o valor mínimo de 6 para 10 .é pq vcs n?o diminui a tempo de espera quando aceitamos as corridas hoje o cliente tem 5 minutos se esse 5 minutos cai pata 2 ou 3 mais corridas temos pensem nisso obrigado  .
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Mostra as posi??es de embarque e desembarque corretamente;;10;
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo é profissional;10;
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;O aplicativo é profissional;;10;
Promoter;BR;SP;Oferece ganhos bons e estáveis;? seguro trabalhar com a 99;Oferece informa??es suficientes do passageiro;9;?nico problema e sobre a avalia??o e a suspens?o da conta.. v? da um exemplo no dia que eu estou no rodízio n?o posso ir para S?o Paulo e as vezes aparece corridas para S?o Paulo e eu tenho que cancelar ent?o devido ao cancelamento de várias corridas a minha avalia??o cai e fico suspenso ent?o esse é o único problema que tem seria bom a 99 ver isso obrigado
Promoter;BR;SP;O aplicativo é profissional;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;? seguro trabalhar com a 99;9;Continue assim pela uma carreira pela sempre e está uns dos mais toop obrigado
Promoter;BR;SP;Oferece boas funcionalidades de seguran?a;O aplicativo atende todas as minhas necessidades de trabalho;Oferece ganhos bons e estáveis;10;Obrigado!
Promoter;BR;SP;Todos falam sobre a 99 de forma positiva;? seguro trabalhar com a 99;Oferece ganhos bons e estáveis;10;N?o
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo atende todas as minhas necessidades de trabalho;Oferece ganhos bons e estáveis;10;
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;Oferece uma rota segura de acordo com a prevista;O aplicativo atende todas as minhas necessidades de trabalho;10;Gostaria de deixar uma opini?o só acho que os motoristas tinha que ter acesso aos comentários pois quando ele leva uma nota baixa ele n?o sabe o motivo da nota já tendo o acesso ficaria mais fácil corrigir o erro cometido na corrida anterior assim ia tem muitos motorista com nota 5 estrela ?\n
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;;;10;? uma forma de trabalho super democrático
Promoter;BR;SP;Todos falam sobre a 99 de forma positiva;;;10;
Promoter;BR;SP;Oferece ganhos bons e estáveis;O aplicativo é profissional;? seguro trabalhar com a 99;10;Obrigados pelas viagens,que venha bastante viagens 2020
Promoter;BR;SP;Oferece boas parcerias para o motorista;Todos falam sobre a 99 de forma positiva;O aplicativo é fácil de ser utilizado;9;Boa tarde se conseguirem colocar avalia??o obrigatória ao terminar a corrida fica top e me dar mais corridas longas kkk obrigado
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;Os passageiros s?o educados e têm uma rota de viagem segura;Oferece boas funcionalidades de seguran?a;10;
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece ganhos bons e estáveis;10;
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;O aplicativo é profissional;Oferece uma visualiza??o clara e correta dos meus ganhos;9;
